id,redshift,WFI_U38,WFI_U38_err,U,U_err,B,B_err,IA484,IA484_err,IA527,IA527_err,WFI_V,WFI_V_err,IA574,IA574_err,V,V_err,IA598,IA598_err,IA624,IA624_err,R,R_err,WFI_Rc,WFI_Rc_err,IA651,IA651_err,IA679,IA679_err,IA738,IA738_err,IA767,IA767_err,I,I_err,IA797,IA797_err,F814W,F814W_err,IA856,IA856_err,Z,Z_err,F098M,F098M_err,J1,J1_err,F105W,F105W_err,J2,J2_err,NB118,NB118_err,F125W,F125W_err,J3,J3_err,F140W,F140W_err,F160W,F160W_err,Hs,Hs_err,Hl,Hl_err,NB209,NB209_err,Ks,Ks_err,tenisK,tenisK_err,KsHI,KsHI_err,IRAC_36,IRAC_36_err,IRAC_45,IRAC_45_err,IRAC_58,IRAC_58_err,IRAC_80,IRAC_80_err
6020,2.50071,,,1.317023176E-07,1.697356584E-08,1.61914766E-07,5.79888361E-08,2.807626126E-08,6.591513791E-08,1.0149374346E-07,6.94388128E-08,1.0727594501E-07,5.990504963E-08,1.71370548E-07,1.75044624E-07,2.79252858E-07,5.10129211E-08,1.474791648E-07,6.876801096E-08,3.267260747E-07,7.752918627E-08,2.966740725E-07,4.49554115E-08,3.13261872E-07,5.518506272E-08,2.993563245E-07,6.063420235E-08,3.272955136E-07,7.754402912E-08,3.945294672E-07,8.392741104E-08,3.651912537E-07,2.156995815E-07,5.44843478E-07,9.9183717E-08,6.07352616E-07,2.428902255E-07,6.08581628E-07,5.47088636E-08,,,1.02565278E-06,1.397313E-07,,,2.08528712E-06,3.301898516E-07,1.94761746E-06,7.9660503E-08,2.0258576E-06,3.3342192E-07,1.22629E-06,8.312836E-07,3.50005356E-06,6.99681036E-08,3.55316416E-06,4.02024952E-07,6.976109E-06,2.4091805E-07,1.1047E-05,8.57398E-08,1.109888786E-05,5.813474736E-07,1.385095593E-05,5.565966493E-07,1.679507E-05,1.356449E-06,2.081822006E-05,8.009816026E-07,2.088403534E-05,3.623096113E-07,1.9170774E-05,1.642944735E-07,3.567797065E-05,8.9194926625E-06,4.164659065E-05,1.04116476625E-05,4.510275517E-05,1.12756887925E-05,3.11447136E-05,7.7861784E-06
6235,2.77694,,,3.5642964E-08,1.0645176192E-08,1.7121117E-07,3.62252683E-08,3.128087349E-07,4.139863477E-08,2.800070696E-07,4.361144858E-08,4.191112186E-07,3.742296658E-08,4.14551748E-07,1.099451772E-07,5.38833243E-07,3.21786244E-08,3.439946125E-07,4.31962839E-08,4.835375764E-07,4.870963378E-08,4.70879015E-07,2.432586375E-08,5.204871728E-07,3.412319408E-08,4.802524471E-07,3.808958601E-08,5.3363516E-07,4.870700208E-08,5.607546912E-07,5.273882592E-08,3.384030468E-07,1.35402657E-07,7.02190322E-07,6.21831055E-08,5.37779008E-07,1.525127045E-07,8.20982848E-07,3.45916152E-08,4.723418158E-07,2.041366839E-07,1.02956256E-06,8.82376677E-08,,,1.319764236E-06,2.395462412E-07,1.26394284E-06,5.13483918E-08,1.147952E-06,2.4725168E-07,1.988584E-06,7.172765E-07,1.55431776E-06,4.41121428E-08,1.18592376E-06,2.85703152E-07,1.960128E-06,1.50054875E-07,2.58586E-06,5.38488E-08,2.190069088E-06,4.13885711E-07,2.708122704E-06,3.836496683E-07,1.824951E-06,1.160541E-06,2.523784146E-06,5.57408957E-07,3.596647446E-06,2.273608771E-07,3.117719115E-06,1.0549215E-07,5.943286825E-06,1.48582170625E-06,8.722405815E-06,2.18060145375E-06,3.35087225E-06,1.061496414E-06,7.25904032E-06,1.81476008E-06
6329,2.55376,8.459289251E-08,1.68759997E-07,3.74874416E-08,1.50411772E-08,1.15805547E-07,5.06806014E-08,2.165985089E-07,5.838774537E-08,2.440783142E-07,6.150062484E-08,2.857948104E-07,5.414979945E-08,5.8177263E-08,1.55020566E-07,3.52548636E-07,5.01272209E-08,3.516581849E-07,6.087768478E-08,4.371009707E-07,6.866633082E-08,4.17917594E-07,3.983755015E-08,4.89954984E-07,4.86611288E-08,3.66442934E-07,5.369946625E-08,5.0563836E-07,6.867033568E-08,4.800101328E-07,7.432167072E-08,3.245581482E-07,1.910704731E-07,4.23331899E-07,9.8557546E-08,3.85657155E-07,2.15147933E-07,5.76020904E-07,5.00917688E-08,8.307186602E-07,2.877667342E-07,7.33366872E-07,1.45270476E-07,,,1.14574446E-06,2.50537784E-07,7.38030114E-07,6.94921068E-08,1.044888E-06,2.574572E-07,4.291264E-07,5.84343E-07,1.40030628E-06,6.2286354E-08,1.64147536E-06,2.998086E-07,2.03654175E-06,2.12553225E-07,2.61555E-06,7.55759E-08,2.74067456E-06,4.517027788E-07,3.378047262E-06,4.286435532E-07,7.854682E-07,1.035696E-06,4.33771857E-06,6.054805732E-07,3.801029379E-06,3.210167611E-07,3.50999907E-06,1.40746314E-07,6.7790835E-06,1.694770875E-06,7.157794185E-06,1.78944854625E-06,9.480485234E-06,2.3701213085E-06,6.97923366E-06,1.744808415E-06
6465,2.801,1.169858466E-06,1.514148202E-07,1.218725872E-06,1.31978812E-08,1.90119267E-06,4.56143077E-08,1.918202767E-06,4.977315501E-08,1.679104512E-06,5.241329128E-08,2.054678603E-06,4.634734878E-08,2.84005158E-06,1.32137238E-07,2.14840316E-06,3.90844222E-08,2.530638572E-06,5.187101634E-08,2.012496349E-06,5.85853447E-08,2.17121877E-06,1.085609385E-07,2.55880736E-06,4.14463024E-08,1.956233038E-06,4.579583665E-08,2.102645824E-06,5.853603248E-08,2.382038208E-06,6.343514496E-08,1.87815927E-06,1.626175551E-07,2.18261388E-06,7.46524605E-08,1.84753361E-06,1.832501645E-07,2.03975652E-06,4.12454244E-08,1.525931748E-06,2.452519665E-07,2.21562225E-06,1.06031115E-07,,,2.123089052E-06,2.424891616E-07,2.78338566E-06,5.92850334E-08,3.0158232E-06,2.4405888E-07,2.864112E-06,6.094434E-07,2.7007038E-06,5.2961304E-08,1.96303744E-06,2.85186048E-07,3.7371705E-06,1.79980775E-07,4.29532E-06,6.44201E-08,4.044142016E-06,4.178571362E-07,4.61520354E-06,4.01432781E-07,3.82388E-06,1.004163E-06,4.664476848E-06,5.80889208E-07,5.058386256E-06,2.717384635E-07,4.61238714E-06,1.207126005E-07,7.661614835E-06,1.91540370875E-06,8.641480475E-06,2.16037011875E-06,1.135315951E-05,2.8382898775E-06,1.08303426E-05,2.70758565E-06
6525,2.87872,,,1.338291976E-07,1.65175864E-08,1.72211468E-07,5.9918261E-08,5.566276733E-07,6.619548961E-08,7.262716374E-07,6.963040748E-08,6.551867701E-07,6.06499641E-08,4.71308544E-07,1.75686384E-07,7.93892299E-07,5.26963367E-08,6.565082073E-07,6.886603581E-08,8.735910503E-07,7.796223799E-08,8.25039744E-07,4.12519872E-08,7.470531152E-07,5.778558864E-08,9.411143174E-07,6.093725953E-08,9.97030656E-07,7.783228848E-08,8.451448368E-07,8.444967696E-08,7.621033056E-07,2.157231726E-07,9.41691391E-07,1.0011855E-07,1.08001556E-06,2.433596555E-07,1.04724228E-06,5.50917892E-08,1.566155626E-06,3.257983203E-07,1.39900788E-06,1.39208391E-07,,,1.207823148E-06,3.749226572E-07,1.57194762E-06,7.88360574E-08,1.5526472E-06,3.7855272E-07,6.697938E-07,9.178737E-07,1.8162558E-06,6.57264384E-08,1.96662312E-06,4.2929208E-07,2.488249E-06,2.36341425E-07,3.48613E-06,7.98261E-08,4.729897414E-06,6.109416942E-07,4.182170544E-06,5.78572162E-07,2.769603E-06,1.789443E-06,3.594686594E-06,8.854327606E-07,4.623141439E-06,3.606873403E-07,4.968758625E-06,1.616929215E-07,9.47503109E-06,2.3687577725E-06,1.156704415E-05,2.8917610375E-06,1.224658512E-05,3.06164628E-06,1.44404862E-05,3.61012155E-06
6738,3.58695,1.754539388E-07,1.516004E-07,,,1.58676635E-08,4.36157657E-08,1.625645141E-07,5.073596574E-08,1.620612156E-07,5.339164934E-08,2.476564341E-07,4.621441647E-08,3.9298059E-07,1.34604576E-07,4.95564296E-07,3.93765277E-08,4.767461919E-07,5.277180766E-08,6.034863893E-07,5.961339843E-08,5.56151099E-07,3.51014733E-08,6.192690624E-07,4.1752204E-08,7.531161525E-07,4.6623367E-08,6.608978448E-07,5.961940096E-08,7.495549248E-07,6.4475664E-08,5.170994751E-07,1.660464702E-07,8.8921197E-07,7.68038543E-08,1.07719898E-06,1.86918862E-07,8.38523732E-07,3.64691956E-08,1.185849826E-06,2.496244771E-07,9.6316371E-07,1.0770192E-07,,,1.048429676E-06,1.6007908E-07,1.02380352E-06,6.01865328E-08,1.1458616E-06,1.5424032E-07,1.010481E-06,3.177823E-07,1.27422264E-06,5.73410148E-08,1.59534032E-06,1.81698216E-07,,,1.88775E-06,7.01571E-08,1.868268354E-06,2.971867506E-07,2.526581303E-06,2.987933961E-07,2.619565E-06,5.993177E-07,3.487451656E-06,3.87599609E-07,3.806243245E-06,2.836415743E-07,3.852363705E-06,1.3581747E-07,4.611964105E-06,1.15299102625E-06,5.644693705E-06,1.41117342625E-06,5.994817411E-06,1.49870435275E-06,6.11365454E-06,1.528413635E-06
6844,3.50856,3.041966578E-08,1.399742176E-07,3.586156E-08,1.2501328E-08,2.0027527E-07,4.14123372E-08,2.93175007E-07,4.667238424E-08,3.429893318E-07,4.914107806E-08,4.863723925E-07,4.288971395E-08,5.24704122E-07,1.23835614E-07,7.51788747E-07,3.65647474E-08,8.854672871E-07,4.856877179E-08,8.48516882E-07,5.491239897E-08,8.53640333E-07,4.268201665E-08,9.029035104E-07,3.934039504E-08,8.86987585E-07,4.291213428E-08,8.860384192E-07,5.485025376E-08,1.04528424E-06,5.941181136E-08,5.779911813E-07,1.525903119E-07,1.1032209E-06,7.02279775E-08,8.51623578E-07,1.718756715E-07,1.08292444E-06,4.01094988E-08,4.089967537E-07,2.297479655E-07,1.03838364E-06,9.950679E-08,,,9.845413984E-07,1.55368122E-07,1.185867E-06,5.49913632E-08,1.256528E-06,1.5371824E-07,9.505334E-07,3.242222E-07,1.13622684E-06,4.87948368E-08,9.48005912E-07,1.7668252E-07,1.18898975E-06,1.6946735E-07,1.36144E-06,5.98224E-08,7.45784859E-07,2.868906918E-07,1.536808068E-06,2.741389398E-07,1.155151E-06,5.937434E-07,2.45649101E-06,3.872821478E-07,3.152056411E-06,2.576360052E-07,3.300199965E-06,1.045312605E-07,1.65681495E-06,4.142037375E-07,1.89840428E-06,4.7460107E-07,3.325877401E-06,8.776906325E-07,1.4942011E-06,1.021993E-06
6849,3.1184,1.1729662742E-08,1.477868658E-07,1.735864928E-07,1.340986024E-08,3.67644433E-07,4.46294147E-08,4.001681464E-07,5.006180593E-08,7.603309188E-07,5.270849918E-08,8.409787173E-07,4.533989568E-08,6.44082942E-07,1.32824838E-07,9.48060436E-07,3.92249759E-08,1.070773671E-06,5.209040529E-08,1.182582532E-06,5.890026449E-08,1.1458545205E-06,5.72926687E-08,1.28281984E-06,4.220158432E-08,1.325287473E-06,4.602710041E-08,1.326703744E-06,5.883118336E-08,1.489531296E-06,6.37237656E-08,1.673901372E-06,1.636699233E-07,1.54630815E-06,7.57228492E-08,1.33293628E-06,1.843543455E-07,1.50184344E-06,4.37300232E-08,1.439195867E-06,2.464150181E-07,1.40006718E-06,1.08717885E-07,,,1.423498804E-06,1.626542652E-07,1.79689662E-06,5.8982229E-08,1.75708E-06,1.6064568E-07,1.553256E-06,3.359793E-07,1.78387584E-06,5.23391028E-08,1.92510584E-06,1.88340768E-07,2.23535075E-06,1.81795025E-07,2.48023E-06,6.38685E-08,2.2996796E-06,3.058069462E-07,2.068771223E-06,2.925110847E-07,2.382508E-06,6.322372E-07,3.728344238E-06,4.10329399E-07,3.717736659E-06,2.763542684E-07,3.85066917E-06,1.12405461E-07,3.97211115E-06,9.930277875E-07,4.06608342E-06,1.016520855E-06,2.627005524E-06,8.308360841E-07,1.7907246E-06,9.69377878E-07
6852,3.70738,,,,,,,6.98126338E-08,4.726891598E-08,3.814487424E-08,4.962270526E-08,1.301910505E-08,4.347873605E-08,2.92610472E-08,1.25402196E-07,1.70136571E-07,3.83603638E-08,1.980630993E-07,4.902642855E-08,1.414731019E-07,5.569481329E-08,1.751221425E-07,1.69835631E-08,2.302636768E-07,4.197446144E-08,2.318726275E-07,4.35483214E-08,2.017212512E-07,5.55612648E-08,2.463227184E-07,6.034859952E-08,5.20778661E-08,1.53496005E-07,3.08463434E-07,7.18914101E-08,4.30567319E-07,1.73433975E-07,2.9476938E-07,3.752952E-08,,,4.25257911E-07,9.9290115E-08,,,9.692616892E-07,3.423635488E-07,,,5.4199704E-07,3.7503648E-07,,,3.72859572E-07,5.98779264E-08,3.47988648E-07,4.33450192E-07,4.81445575E-07,1.67799675E-07,5.23625E-07,7.19554E-08,2.730009976E-07,5.508020874E-07,2.322296132E-07,4.924676027E-07,,,1.905058746E-06,7.286090874E-07,1.858016839E-06,2.648458295E-07,1.509967815E-06,1.22647113E-07,1.94157726E-06,4.85394315E-07,2.37725002E-06,5.94312505E-07,3.016789479E-06,7.5419736975E-07,2.13610894E-06,8.27389794E-07
6900,3.13779,,,7.91217084E-08,1.672696592E-08,2.19159746E-07,5.70489257E-08,2.780198216E-07,6.294229658E-08,8.884395292E-07,6.623630878E-08,7.827717465E-07,5.777641603E-08,1.2380811E-06,1.66990536E-07,1.04624219E-06,5.5047004E-08,1.237104726E-06,6.544201224E-08,1.117062241E-06,7.411994022E-08,1.289617595E-06,6.448110905E-08,1.315811664E-06,5.385700464E-08,1.334902285E-06,5.790478171E-08,1.359007744E-06,7.39670072E-08,1.464200496E-06,8.023001712E-08,1.581988395E-06,2.053687311E-07,1.62989264E-06,1.07909808E-07,1.538679285E-06,2.31520835E-07,1.57990444E-06,5.04905576E-08,7.320272929E-07,3.096826105E-07,1.84816071E-06,1.56401793E-07,,,2.054102344E-06,2.159987228E-07,1.99046298E-06,7.41977994E-08,2.3411232E-06,2.208908E-07,2.308287E-06,4.872239E-07,2.55685152E-06,6.1778394E-08,2.69398416E-06,2.53777832E-07,3.222682E-06,2.24012725E-07,3.99718E-06,7.55789E-08,4.50897788E-06,4.146814372E-07,4.438556766E-06,3.88666923E-07,3.620312E-06,8.736026E-07,6.437108922E-06,5.4880835E-07,5.911297252E-06,3.500546049E-07,6.06590637E-06,1.395248775E-07,8.982655605E-06,2.24566390125E-06,9.71952815E-06,2.4298820375E-06,9.621815632E-06,2.405453908E-06,9.01220446E-06,2.253051115E-06
