"wave","response"
3565,0
3575,0
3585,0.00352021
3595,0.00564634
3605,0.0100256
3615,0.0153613
3625,0.0210663
3635,0.0294535
3645,0.0430849
3655,0.0582698
3665,0.0686538
3675,0.0782337
3685,0.0944809
3695,0.115647
3705,0.133629
3715,0.14862
3725,0.16472
3735,0.190384
3745,0.222487
3755,0.249218
3765,0.268866
3775,0.286916
3785,0.308851
3795,0.331131
3805,0.343844
3815,0.362609
3825,0.387321
3835,0.411694
3845,0.437347
3855,0.457946
3865,0.47705
3875,0.493971
3885,0.509568
3895,0.529724
3905,0.55115
3915,0.57395
3925,0.602282
3935,0.624304
3945,0.642881
3955,0.659196
3965,0.670879
3975,0.6803
3985,0.690268
3995,0.700758
4005,0.706637
4015,0.720097
4025,0.734096
4035,0.748637
4045,0.759297
4055,0.770802
4065,0.785582
4075,0.792451
4085,0.78951
4095,0.792346
4105,0.795477
4115,0.793402
4125,0.798833
4135,0.811951
4145,0.823198
4155,0.826688
4165,0.829702
4175,0.836794
4185,0.844115
4195,0.848214
4205,0.854714
4215,0.871736
4225,0.882146
4235,0.896253
4245,0.902287
4255,0.904024
4265,0.903755
4275,0.900713
4285,0.903582
4295,0.89102
4305,0.876525
4315,0.879503
4325,0.896378
4335,0.90554
4345,0.905202
4355,0.912694
4365,0.928596
4375,0.935423
4385,0.937167
4395,0.942646
4405,0.955456
4415,0.958805
4425,0.946553
4435,0.936367
4445,0.93034
4455,0.928499
4465,0.932555
4475,0.935804
4485,0.941482
4495,0.94614
4505,0.941211
4515,0.935434
4525,0.932932
4535,0.94425
4545,0.974388
4555,0.986935
4565,1
4575,0.952192
4585,0.949301
4595,0.971574
4605,0.955225
4615,0.960451
4625,0.959396
4635,0.951494
4645,0.950294
4655,0.940071
4665,0.930929
4675,0.929539
4685,0.924495
4695,0.933924
4705,0.912594
4715,0.913652
4725,0.917897
4735,0.917428
4745,0.926389
4755,0.936714
4765,0.91892
4775,0.86738
4785,0.733191
4795,0.541307
4805,0.358987
4815,0.190708
4825,0.0946981
4835,0.046365
4845,0.0238401
4855,0.0127887
4865,0.00862439
4875,0
4885,0
