"wave","response"
NA,NA
8755,0
8785,0
8815,0.00123248
8845,0.0025948
8875,0.0064167
8905,0.0171146
8935,0.0505347
8965,0.149279
8995,0.365003
9025,0.636604
9055,0.800244
9085,0.836615
9115,0.835821
9145,0.831723
9175,0.831104
9205,0.836767
9235,0.849487
9265,0.860227
9295,0.866507
9325,0.871067
9355,0.876618
9385,0.882709
9415,0.880353
9445,0.871545
9475,0.873301
9505,0.887816
9535,0.893703
9565,0.888755
9595,0.889221
9625,0.893312
9655,0.894183
9685,0.898903
9715,0.908836
9745,0.915347
9775,0.921658
9805,0.93769
9835,0.954403
9865,0.961748
9895,0.962474
9925,0.961201
9955,0.955063
9985,0.94868
10015,0.950886
10045,0.951789
10075,0.936667
10105,0.918367
10135,0.919109
10165,0.932977
10195,0.931981
10225,0.915585
10255,0.918743
10285,0.952791
10315,0.986769
10345,0.996001
10375,0.993501
10405,0.997615
10435,1
10465,0.98825
10495,0.965479
10525,0.942846
10555,0.942542
10585,0.961339
10615,0.970484
10645,0.924636
10675,0.751092
10705,0.471676
10735,0.242564
10765,0.108753
10795,0.0429619
10825,0.0175011
10855,0.00842008
10885,0.00491585
10915,0.00305129
10945,0.00157634
10975,0.000718596
11005,0.000323013
11035,0.000194996
11065,0.000172541
11095,0.000150032
11125,0.000127467
11155,0.000118672
11185,0.000174456
11215,0.000238614
11245,0.000301115
11275,0.000317029
11305,0.000312529
11335,0.000308017
11365,0.000303491
11395,0.000298956
11425,0.000294454
11455,0.000289951
11485,0.000285433
11515,0.000280805
11545,0.000276072
11575,0.00027133
11605,0.00026658
11635,0.000261824
11665,0.000257059
11695,0.000252286
11725,0.000247503
11755,0.000242711
11785,0.000237909
11815,0.000233051
11845,0.000228139
11875,0.000223221
11905,0.000219083
11935,0.000218701
11965,0.000192747
11995,0.000129211
12025,0.000109469
12055,0.000109508
12085,0.000109546
12115,0.000109585
12145,0.000109623
12175,0.000109661
12205,0.000109692
12235,0.000109701
12265,0.000109709
12295,0.000109716
12325,0.000109724
12355,0.000109731
12385,0.000109738
12415,0.000109765
12445,0.000109811
12475,0.000109858
12505,0.000109914
12535,0.000110002
12565,0.000110092
12595,0.000110182
12625,0.000110261
12655,0.000110338
12685,0.000110414
12715,0.00011049
12745,0.000110566
12775,0.000110643
12805,0.000110707
12835,0.000110731
12865,0.000110752
12895,0.000110773
12925,0.000110794
12955,0.000110815
12985,0.000110836
13015,0.000110911
13045,0.000111039
13075,0.000111168
13105,0.000111297
13135,0.000111426
13165,0.000111555
13195,0.00011168
13225,0.000111755
13255,0.000111814
13285,0.000111874
13315,0.000111934
13345,0.000111993
13375,0.000112053
13405,0.000112072
13435,0.000111959
13465,0.000111835
13495,0.000111714
13525,0.000111625
13555,0.000111544
13585,0.000111464
13615,0.000111068
13645,0.000110357
13675,0.000109648
13705,0.000108939
13735,0.000108232
13765,0.000107525
13795,0.00010683
13825,0.00010634
13855,0.000106806
13885,0.000107555
13915,0.000108308
13945,0.000109063
13975,0.000109821
14005,0.000110461
14035,0.000110708
14065,0.000110925
14095,0.000111141
14125,0.000111357
14155,0.000111572
14185,0.000111788
14215,0.000119115
14245,0.000138002
14275,0.000157021
14305,0.00017601
14335,0.000194966
14365,0.00021389
14395,0.000232775
14425,0.000251525
14455,0.00027019
14485,0.000288804
14515,0.000307641
14545,0.000325909
14575,0.000317023
14605,0.000294956
14635,0.000272808
14665,0.000250654
14695,0.000228818
14725,0.000217614
14755,0.000211575
14785,0.000205536
14815,0.000199466
14845,0.000193368
14875,0.000187273
14905,0.000181181
14935,0.000175092
14965,0.000169007
14995,0.000162924
15025,0.000156834
15055,0.000150745
15085,0.00014466
15115,0.00013858
15145,0.000132504
15175,0.000126432
15205,0.000120358
15235,0.000114269
15265,0.00011041
15295,0.00011027
15325,0.000110188
15355,0.000110108
15385,0.000110039
15415,0.00010998
15445,0.000109929
15475,0.000109878
15505,0.000109833
15535,0.000109808
15565,0.000109785
15595,0.000109761
15625,0.000109724
15655,0.000109684
15685,0.000109643
15715,0.000109602
15745,0.000109572
15775,0
