"wave","response"
11535,0
11580,0
11625,0.000496221
11670,0.000531856
11715,0.000579478
11760,0.000824887
11805,0.00308672
11850,0.00985052
11895,0.0285732
11940,0.0905631
11985,0.317477
12030,0.770126
12075,0.968687
12120,0.971617
12165,0.9731
12210,0.980547
12255,0.985642
12300,0.980922
12345,0.973237
12390,0.972542
12435,0.97472
12480,0.973697
12525,0.968479
12570,0.964655
12615,0.969578
12660,0.979597
12705,0.987924
12750,0.987916
12795,0.982218
12840,0.981244
12885,0.986889
12930,0.9923
12975,0.991726
13020,0.986541
13065,0.984421
13110,0.986793
13155,0.990676
13200,0.992957
13245,0.995063
13290,0.999027
13335,1
13380,0.99777
13425,0.990289
13470,0.983705
13515,0.983938
13560,0.989932
13605,0.99093
13650,0.989902
13695,0.981242
13740,0.971322
13785,0.9601
13830,0.951505
13875,0.955326
13920,0.962354
13965,0.971313
14010,0.979994
14055,0.985193
14100,0.989475
14145,0.992553
14190,0.993238
14235,0.992098
14280,0.989155
14325,0.987949
14370,0.987301
14415,0.987669
14460,0.988896
14505,0.990344
14550,0.990324
14595,0.986264
14640,0.980733
14685,0.976138
14730,0.976677
14775,0.978478
14820,0.982028
14865,0.984511
14910,0.986217
14955,0.98957
15000,0.992696
15045,0.993633
15090,0.989213
15135,0.980739
15180,0.968358
15225,0.958315
15270,0.953939
15315,0.953824
15360,0.957157
15405,0.961913
15450,0.9659
15495,0.968866
15540,0.969574
15585,0.966298
15630,0.95913
15675,0.947586
15720,0.935228
15765,0.92792
15810,0.937697
15855,0.958811
15900,0.875371
15945,0.541647
15990,0.219063
16035,0.0766355
16080,0.028457
16125,0.0141915
16170,0
16215,0
