"wave","response"
15845,0
15900,0
15955,0.00402805
16010,0.00809317
16065,0.0237745
16120,0.0667934
16175,0.158745
16230,0.343193
16285,0.641555
16340,0.884753
16395,0.960761
16450,0.978871
16505,0.985928
16560,0.949176
16615,0.999559
16670,0.995486
16725,1
16780,0.959291
16835,0.99756
16890,0.974671
16945,0.989631
17000,0.984945
17055,0.965055
17110,0.962303
17165,0.977534
17220,0.942988
17275,0.989807
17330,0.883338
17385,0.978867
17440,0.956291
17495,0.960884
17550,0.968528
17605,0.987175
17660,0.949657
17715,0.932803
17770,0.645528
17825,0.357477
17880,0.147616
17935,0.0693112
17990,0.0213344
18045,0
18100,0
