"wave","response"
14375,0
14425,0
14475,0.00394777
14525,0.00836391
14575,0.0324215
14625,0.0840294
14675,0.138141
14725,0.293988
14775,0.462021
14825,0.781547
14875,0.811608
14925,0.893976
14975,0.852181
15025,0.77302
15075,0.870875
15125,0.919375
15175,0.934471
15225,0.964104
15275,0.970246
15325,0.965212
15375,0.954357
15425,0.959109
15475,0.982086
15525,1
15575,0.997393
15625,0.980938
15675,0.949031
15725,0.957292
15775,0.973635
15825,0.952522
15875,0.982411
15925,0.983509
15975,0.987817
16025,0.964636
16075,0.942317
16125,0.953007
16175,0.935027
16225,0.924222
16275,0.754281
16325,0.404867
16375,0.157293
16425,0.0591002
16475,0.023363
16525,0.0109886
16575,0.00536473
16625,0.00323384
16675,0
16725,0
