"wave","response"
NA,NA
6535,0
6560,0
6585,0.00297807
6610,0.00359091
6635,0.00440711
6660,0.00522401
6685,0.00604226
6710,0.00686193
6735,0.00768232
6760,0.0084984
6785,0.00931277
6810,0.0132852
6835,0.0267909
6860,0.0510228
6885,0.0941968
6910,0.155813
6935,0.235746
6960,0.337266
6985,0.442715
7010,0.555637
7035,0.65166
7060,0.730491
7085,0.799434
7110,0.854713
7135,0.892489
7160,0.929371
7185,0.94724
7210,0.974366
7235,0.987683
7260,0.990737
7285,0.986724
7310,0.996026
7335,0.995242
7360,0.998425
7385,1
7410,0.994925
7435,0.979645
7460,0.96898
7485,0.9669
7510,0.969093
7535,0.979075
7560,0.974861
7585,0.967301
7610,0.957675
7635,0.954699
7660,0.947339
7685,0.934035
7710,0.909608
7735,0.888218
7760,0.879362
7785,0.881751
7810,0.890083
7835,0.893166
7860,0.882367
7885,0.866372
7910,0.851519
7935,0.839912
7960,0.824366
7985,0.810751
8010,0.793684
8035,0.782216
8060,0.781552
8085,0.783776
8110,0.785154
8135,0.780393
8160,0.772652
8185,0.767888
8210,0.764038
8235,0.749103
8260,0.728921
8285,0.710205
8310,0.689718
8335,0.675341
8360,0.664193
8385,0.658275
8410,0.656755
8435,0.641364
8460,0.610395
8485,0.573513
8510,0.494494
8535,0.335291
8560,0.151934
8585,0.0517763
8610,0.0229861
8635,0
