"wave","response"
NA,NA
48630,0
48820,0
49010,0.00235519
49200,0.00279339
49390,0.0199528
49580,0.0864978
49770,0.209116
49960,0.342203
50150,0.462975
50340,0.543945
50530,0.553961
50720,0.556809
50910,0.616952
51100,0.688156
51290,0.718653
51480,0.716638
51670,0.706642
51860,0.702314
52050,0.71883
52240,0.758881
52430,0.792824
52620,0.791376
52810,0.759605
53000,0.727228
53190,0.737124
53380,0.785701
53570,0.827841
53760,0.843044
53950,0.848763
54140,0.84752
54330,0.840967
54520,0.836387
54710,0.834298
54900,0.834233
55090,0.831715
55280,0.831563
55470,0.851205
55660,0.883951
55850,0.898871
56040,0.892351
56230,0.884335
56420,0.889145
56610,0.905901
56800,0.924469
56990,0.926308
57180,0.919985
57370,0.93241
57560,0.957242
57750,0.958803
57940,0.939285
58130,0.938715
58320,0.95483
58510,0.965867
58700,0.97301
58890,0.980615
59080,0.980865
59270,0.972525
59460,0.969023
59650,0.982873
59840,1
60030,0.997916
60220,0.981637
60410,0.974076
60600,0.981317
60790,0.988961
60980,0.981707
61170,0.964152
61360,0.944272
61550,0.938991
61740,0.944368
61930,0.960304
62120,0.967577
62310,0.946561
62500,0.90515
62690,0.880889
62880,0.89562
63070,0.930348
63260,0.947801
63450,0.945294
63640,0.921957
63830,0.844223
64020,0.708906
64210,0.568704
64400,0.429033
64590,0.261277
64780,0.111667
64970,0.0337479
65160,0.00956538
65350,0.00339766
65540,0.00143279
65730,0.00068879
65920,0.000967123
66110,0.000609051
66300,0
