"wave","response"
11905,0
11945,0
11985,0.00810011
12025,0.0182693
12065,0.0443985
12105,0.101852
12145,0.248817
12185,0.568274
12225,0.891724
12265,0.963327
12305,0.959029
12345,0.972857
12385,0.989698
12425,0.994108
12465,0.992336
12505,0.986486
12545,0.973213
12585,0.959873
12625,0.938001
12665,0.878871
12705,0.817421
12745,0.907703
12785,0.854276
12825,0.845113
12865,0.83396
12905,0.852881
12945,0.867469
12985,0.881331
13025,0.848475
13065,0.928237
13105,0.944991
13145,0.93934
13185,0.835151
13225,0.814674
13265,0.824381
13305,0.717536
13345,1
13385,0.719867
13425,0.705443
13465,0.674528
13505,0.303923
13545,0.0823354
13585,0.0227016
13625,0.0190849
13665,0.0116366
13705,0
13745,0
