"wave","response"
19375,0
19445,0
19515,0.00599212
19585,0.00776527
19655,0.0301187
19725,0.0870759
19795,0.289731
19865,0.531348
19935,0.741683
20005,0.494267
20075,0.387673
20145,0.403913
20215,0.635574
20285,0.878561
20355,0.988221
20425,0.964019
20495,0.879958
20565,0.635886
20635,0.669291
20705,0.812527
20775,0.952264
20845,0.942183
20915,0.967335
20985,0.988304
21055,1
21125,0.994616
21195,0.957025
21265,0.981137
21335,0.978483
21405,0.979465
21475,0.986493
21545,0.978548
21615,0.962044
21685,0.97603
21755,0.940986
21825,0.92276
21895,0.926359
21965,0.89491
22035,0.873683
22105,0.907298
22175,0.9041
22245,0.909328
22315,0.882858
22385,0.88679
22455,0.874065
22525,0.908898
22595,0.89144
22665,0.889454
22735,0.893747
22805,0.860747
22875,0.816996
22945,0.785622
23015,0.795512
23085,0.766456
23155,0.498422
23225,0.261239
23295,0.119069
23365,0.0460142
23435,0.0195276
23505,0.010584
23575,0
23645,0
