"wave","response"
18914.1,0
18957.1,0
19000,0
19042.9,0.00665122
19085.9,0.0211181
19128.8,0.0222535
19171.7,0.0775127
19214.7,0.0884808
19257.6,0.136097
19300.6,0.18727
19343.5,0.320702
19386.4,0.338391
19429.4,0.494865
19472.3,0.720969
19515.2,0.932894
19558.2,1.12127
19601.1,2.05295
19644,3.33982
19687,6.08962
19729.9,10.5517
19772.9,17.3493
19815.8,22.7282
19858.7,28.1608
19901.7,31.8211
19944.6,34.1229
19987.5,27.6768
20030.5,17.9598
20073.4,24.1673
20116.3,23.4094
20159.3,26.9353
20202.2,32.3581
20245.2,39.9756
20288.1,43.2626
20331,43.9115
20374,43.916
20416.9,43.4223
20459.8,43.4681
20502.8,38.2823
20545.7,34.3265
20588.6,38.2362
20631.6,37.5157
20674.5,38.1041
20717.4,41.6333
20760.4,44.0136
20803.3,45.9331
20846.3,45.626
20889.2,46.157
20932.1,46.6865
20975.1,47.0819
21018,47.3151
21060.9,47.6999
21103.9,47.7188
21146.8,48.0553
21189.7,47.9644
21232.7,48.1167
21275.6,48.0446
21318.6,48.0987
21361.5,47.9599
21404.4,47.8688
21447.4,47.7588
21490.3,47.6085
21533.2,47.4163
21576.2,47.7111
21619.1,47.4997
21662,47.89
21705,48.0147
21747.9,48.1966
21790.9,48.3263
21833.8,48.1983
21876.7,48.6576
21919.7,48.8578
21962.6,48.6063
22005.5,47.3642
22048.5,48.5686
22091.4,49.1158
22134.3,49.2523
22177.3,48.972
22220.2,48.9723
22263.2,48.9688
22306.1,48.9392
22349,49.037
22392,49.0461
22434.9,49.0443
22477.8,48.7946
22520.8,48.7738
22563.7,48.4621
22606.6,48.1397
22649.6,48.7591
22692.5,47.9692
22735.5,47.6783
22778.4,47.5646
22821.3,45.5597
22864.3,45.4433
22907.2,41.8073
22950.1,38.2381
22993.1,32.9003
23036,27.7444
23078.9,22.621
23121.9,18.1392
23164.8,12.525
23207.8,9.88803
23250.7,7.5883
23293.6,5.67761
23336.6,4.23921
23379.5,3.16862
23422.4,2.39782
23465.4,1.82589
23508.3,1.41377
23551.2,1.12955
23594.2,0.918861
23637.1,0.750767
23680.1,0.593379
23723,0.433961
23765.9,0.391737
23808.9,0.334664
23851.8,0.262997
23894.7,0.220134
23937.7,0.19358
23980.6,0.157417
24023.5,0.129918
24066.5,0.109327
24109.4,0.0918819
24152.3,0.0727153
24195.3,0.0622377
24238.2,0.054536
24281.2,0.0453919
24324.1,0.0381523
24367,0.0274047
24410,0.0274914
24452.9,0.0192602
24495.8,0
24538.8,0
24581.7,0
