"wave","response"
1170.0,0.0001
1170.5,0.0001
1171.0,0.0001
1171.5,0.0002
1172.0,0.0002
1172.5,0.0002
1173.0,0.0003
1173.5,0.0004
1174.0,0.0005
1174.5,0.0006
1175.0,0.0008
1175.5,0.001
1176.0,0.0013
1176.5,0.0018
1177.0,0.0024
1177.5,0.0032
1178.0,0.0045
1178.5,0.0062
1179.0,0.0088
1179.5,0.0128
1180.0,0.0188
1180.5,0.0282
1181.0,0.0428
1181.5,0.0658
1182.0,0.1009
1182.5,0.1519
1183.0,0.22
1183.5,0.3022
1184.0,0.3917
1184.5,0.4816
1185.0,0.5658
1185.5,0.6392
1186.0,0.697
1186.5,0.7375
1187.0,0.7614
1187.5,0.773
1188.0,0.778
1188.5,0.7807
1189.0,0.7824
1189.5,0.784
1190.0,0.7856
1190.5,0.7871
1191.0,0.7887
1191.5,0.7901
1192.0,0.7914
1192.5,0.7924
1193.0,0.7928
1193.5,0.7917
1194.0,0.7879
1194.5,0.7784
1195.0,0.7591
1195.5,0.7251
1196.0,0.6739
1196.5,0.6055
1197.0,0.5251
1197.5,0.4375
1198.0,0.3485
1198.5,0.2634
1199.0,0.1892
1199.5,0.1299
1200.0,0.0866
1200.5,0.057
1201.0,0.0375
1201.5,0.0249
1202.0,0.0168
1202.5,0.0115
1203.0,0.008
1203.5,0.0056
1204.0,0.004
1204.5,0.0029
1205.0,0.0022
1205.5,0.0016
1206.0,0.0012
1206.5,0.0009
1207.0,0.0007
1207.5,0.0005
1208.0,0.0004
1208.5,0.0003
1209.0,0.0002
1209.5,0.0002
1210.0,0.0002
