"wave","response"
NA,NA
4600,0
4615,0
4630,0.0148297
4645,0.027173
4660,0.0819293
4675,0.10751
4690,0.203633
4705,0.245928
4720,0.288695
4735,0.412879
4750,0.37649
4765,0.517319
4780,0.55995
4795,0.523681
4810,0.671037
4825,0.690302
4840,0.737078
4855,0.763507
4870,0.769801
4885,0.749459
4900,0.677995
4915,0.679111
4930,0.73458
4945,0.794587
4960,0.767966
4975,0.732489
4990,0.791972
5005,0.827546
5020,0.809578
5035,0.739109
5050,0.696116
5065,0.73879
5080,0.796877
5095,0.797225
5110,0.770918
5125,0.76989
5140,0.800987
5155,0.830828
5170,0.812986
5185,0.795067
5200,0.848637
5215,0.831522
5230,0.768478
5245,0.783128
5260,0.795858
5275,0.827508
5290,0.851866
5305,0.824942
5320,0.794042
5335,0.823241
5350,0.863508
5365,0.858903
5380,0.852399
5395,0.805438
5410,0.778162
5425,0.832516
5440,0.880065
5455,0.900601
5470,0.901847
5485,0.910152
5500,0.891584
5515,0.859147
5530,0.878098
5545,0.898137
5560,0.887614
5575,0.902277
5590,0.895528
5605,0.867696
5620,0.855053
5635,0.89407
5650,0.906744
5665,0.883359
5680,0.877765
5695,0.899742
5710,0.912132
5725,0.898348
5740,0.902848
5755,0.858809
5770,0.853983
5785,0.874317
5800,0.912592
5815,0.932045
5830,0.915892
5845,0.897923
5860,0.913222
5875,0.914867
5890,0.907387
5905,0.932757
5920,0.94206
5935,0.917293
5950,0.875151
5965,0.903894
5980,0.9039
5995,0.903037
6010,0.9113
6025,0.920027
6040,0.930679
6055,0.947293
6070,0.930385
6085,0.929641
6100,0.952062
6115,0.950771
6130,0.960344
6145,0.963097
6160,0.937832
6175,0.877133
6190,0.836924
6205,0.821525
6220,0.842829
6235,0.906465
6250,0.948173
6265,0.958575
6280,0.967749
6295,0.950503
6310,0.937865
6325,0.932752
6340,0.940882
6355,0.972878
6370,0.947337
6385,0.911728
6400,0.88271
6415,0.888897
6430,0.902546
6445,0.951341
6460,0.99164
6475,0.987842
6490,0.966941
6505,0.944366
6520,0.91103
6535,0.908971
6550,0.911102
6565,0.942201
6580,0.940261
6595,0.923427
6610,0.892697
6625,0.918271
6640,0.932078
6655,0.964801
6670,0.995172
6685,1
6700,0.970594
6715,0.954956
6730,0.93026
6745,0.93281
6760,0.915969
6775,0.951772
6790,0.942754
6805,0.949827
6820,0.917373
6835,0.916658
6850,0.914575
6865,0.936329
6880,0.940618
6895,0.905064
6910,0.851837
6925,0.823974
6940,0.832709
6955,0.856681
6970,0.916319
6985,0.930176
7000,0.930899
7015,0.917138
7030,0.893022
7045,0.905183
7060,0.920311
7075,0.817185
7090,0.476616
7105,0.211166
7120,0.107357
7135,0.0676676
7150,0.0518362
7165,0
