"wave","response"
5434.06,0
5447.03,0
5460,0
5472.97,0.00128233
5485.94,0.00226557
5498.9,0.00377401
5511.87,0.00971766
5524.84,0.0261661
5537.81,0.0673052
5550.77,0.157828
5563.74,0.335087
5576.71,0.659139
5589.68,1.19424
5602.64,1.99217
5615.61,3.07384
5628.58,4.40985
5641.55,5.94261
5654.51,7.59422
5667.48,9.28858
5680.45,10.9436
5693.42,12.499
5706.38,14.1297
5719.35,15.7487
5732.32,17.2775
5745.29,18.6543
5758.25,19.8092
5771.22,20.681
5784.19,21.2953
5797.16,21.7266
5810.12,22.0583
5823.09,22.3525
5836.06,22.6681
5849.03,23.0667
5861.99,23.5755
5874.96,24.1792
5887.93,24.7867
5900.9,25.4459
5913.86,26.0719
5926.83,26.5923
5939.8,26.998
5952.77,27.2412
5965.73,27.3799
5978.7,27.448
5991.67,27.4881
6004.64,27.5494
6017.6,27.6284
6030.57,27.7548
6043.54,27.8973
6056.51,28.0203
6069.47,28.0857
6082.44,28.0611
6095.41,27.9223
6108.38,27.7033
6121.34,27.439
6134.31,27.1409
6147.28,26.8626
6160.25,26.6631
6173.21,26.5804
6186.18,26.593
6199.15,26.7446
6212.12,26.9855
6225.08,27.293
6238.05,27.6236
6251.02,27.934
6263.99,28.174
6276.95,27.848
6289.92,28.1153
6302.89,28.1042
6315.86,28.2373
6328.82,28.2111
6341.79,28.1274
6354.76,28.034
6367.73,27.9617
6380.69,27.9242
6393.66,27.9054
6406.63,27.923
6419.6,27.944
6432.56,27.9412
6445.53,27.8985
6458.5,27.8087
6471.47,27.6529
6484.43,27.503
6497.4,27.3906
6510.37,27.2377
6523.34,27.0557
6536.3,27.0045
6549.27,26.9377
6562.24,26.9798
6575.21,27.0772
6588.17,27.2353
6601.14,27.414
6614.11,27.6116
6627.08,27.7812
6640.04,27.935
6653.01,28.0353
6665.98,28.0869
6678.95,28.0897
6691.91,28.0316
6704.88,27.9396
6717.85,27.8212
6730.82,27.693
6743.78,27.5689
6756.75,27.4471
6769.72,27.3472
6782.69,27.2723
6795.65,27.2036
6808.62,27.1352
6821.59,27.0729
6834.56,27.0103
6847.52,26.9366
6860.49,26.8766
6873.46,21.0567
6886.43,24.2561
6899.39,24.0059
6912.36,24.9575
6925.33,25.5811
6938.3,25.8797
6951.26,25.9185
6964.23,25.8398
6977.2,25.8283
6990.17,25.6071
7003.13,25.5208
7016.1,25.4407
7029.07,25.3607
7042.04,25.3061
7055,25.2017
7067.97,25.106
7080.94,25.0038
7093.91,24.8951
7106.87,24.7676
7119.84,24.6418
7132.81,24.5099
7145.78,24.3501
7158.74,24.1709
7171.71,23.6003
7184.68,22.8553
7197.65,22.7085
7210.61,22.672
7223.58,22.4197
7236.55,21.2793
7249.52,20.3703
7262.48,19.3958
7275.45,18.0235
7288.42,16.6504
7301.39,15.0787
7314.35,13.4637
7327.32,11.9659
7340.29,10.4374
7353.26,9.00197
7366.22,7.67552
7379.19,6.53158
7392.16,5.52661
7405.13,4.69423
7418.09,4.00062
7431.06,3.3854
7444.03,2.84992
7457,2.39832
7469.96,2.02011
7482.93,1.70321
7495.9,1.44011
7508.87,1.2228
7521.83,1.04261
7534.8,0.892598
7547.77,0.766209
7560.74,0.661028
7573.7,0.571545
7586.67,0.495128
7599.64,0.218926
7612.61,0.160513
7625.57,0.221195
7638.54,0.177635
7651.51,0.185647
7664.48,0.202097
7677.44,0.190296
7690.41,0.174768
7703.38,0.158123
7716.35,0.141982
7729.31,0.127135
7742.28,0.113985
7755.25,0.102861
7768.22,0.0926589
7781.18,0.0840741
7794.15,0.0760091
7807.12,0.068858
7820.09,0.0625063
7833.05,0.0568787
7846.02,0.0523043
7858.99,0.0477412
7871.96,0.043476
7884.92,0.0396329
7897.89,0.0363856
7910.86,0.0337097
7923.83,0.0310178
7936.79,0.0286923
7949.76,0.0269504
7962.73,0.0250396
7975.7,0.023327
7988.66,0.0218913
8001.63,0.0225409
8014.6,0.0234043
8027.57,0.0226349
8040.53,0.02154
8053.5,0.0206926
8066.47,0.0198501
8079.44,0.0190816
8092.4,0.0183882
8105.37,0.0177136
8118.34,0.0170312
8131.31,0.0163094
8144.27,0.0156777
8157.24,0.0149822
8170.21,0.0131577
8183.18,0
8196.14,0
8209.11,0
