"wave","response"
4718.51,0
4729.25,0
4740,0
4750.75,0.000869316
4761.49,0.00148448
4772.24,0.00210283
4782.99,0.00299386
4793.73,0.0087879
4804.48,0.0284349
4815.23,0.0805972
4825.97,0.191079
4836.72,0.412148
4847.47,0.810781
4858.21,1.43693
4868.96,2.30064
4879.71,3.39011
4890.45,4.65168
4901.2,5.99775
4911.95,7.38988
4922.69,8.80146
4933.44,10.217
4944.19,11.6479
4954.93,13.0594
4965.68,14.4596
4976.43,15.8423
4987.17,17.177
4997.92,18.423
5008.67,19.5272
5019.41,20.4572
5030.16,21.1949
5040.91,21.7082
5051.65,22.0949
5062.4,22.3251
5073.15,22.4481
5083.89,22.5061
5094.64,22.5478
5105.39,22.6079
5116.13,22.711
5126.88,22.8837
5137.63,23.1277
5148.37,23.4324
5159.12,23.7983
5169.87,24.2019
5180.61,24.6015
5191.36,24.9752
5202.11,25.286
5212.85,25.5153
5223.6,25.6493
5234.35,25.6811
5245.09,25.6145
5255.84,25.4899
5266.59,25.3087
5277.33,25.097
5288.08,24.8723
5298.83,24.6587
5309.57,24.4789
5320.32,24.3393
5331.07,24.2473
5341.81,24.2043
5352.56,24.2023
5363.31,24.2222
5374.05,24.2609
5384.8,24.3022
5395.55,24.3433
5406.29,24.3707
5417.04,24.3838
5427.79,24.3869
5438.53,24.3576
5449.28,24.3137
5460.03,24.2446
5470.77,24.1636
5481.52,24.0659
5492.27,23.938
5503.01,23.7814
5513.76,23.5912
5524.51,23.3852
5535.25,23.1619
5546,22.9221
5556.75,22.6748
5567.49,22.4237
5578.24,22.1575
5588.99,21.8857
5599.73,21.609
5610.48,21.3179
5621.23,21.0088
5631.97,20.6935
5642.72,20.3591
5653.47,20.0055
5664.21,19.6289
5674.96,19.2287
5685.71,18.821
5696.45,18.4033
5707.2,17.9538
5717.95,17.477
5728.69,17.0021
5739.44,16.5301
5750.19,16.0592
5760.93,15.6089
5771.68,15.1735
5782.43,14.7575
5793.17,14.3705
5803.92,14.0265
5814.67,13.7388
5825.41,13.5029
5836.16,13.3079
5846.91,13.0918
5857.65,12.6766
5868.4,11.7435
5879.15,10.04
5889.89,7.6657
5900.64,5.3076
5911.39,3.41812
5922.13,2.01687
5932.88,1.14759
5943.63,0.650373
5954.37,0.378219
5965.12,0.222946
5975.87,0.135233
5986.61,0.0844524
5997.36,0.0541247
6008.11,0.0354177
6018.85,0.023555
6029.6,0.0158661
6040.35,0.0110494
6051.09,0.00784769
6061.84,0.00587339
6072.59,0.00444711
6083.33,0
6094.08,0
6104.83,0
