"wave","response"
NA,NA
7855,0
7885,0
7915,0.00210094
7945,0.00315964
7975,0.00537707
8005,0.0102599
8035,0.0189909
8065,0.0311549
8095,0.0516635
8125,0.0818062
8155,0.123532
8185,0.178929
8215,0.247504
8245,0.322853
8275,0.415216
8305,0.50912
8335,0.602233
8365,0.690325
8395,0.764844
8425,0.82535
8455,0.875252
8485,0.921918
8515,0.953755
8545,0.976283
8575,0.988546
8605,1
8635,0.99586
8665,0.994492
8695,0.989383
8725,0.979407
8755,0.970058
8785,0.957164
8815,0.940998
8845,0.923344
8875,0.91103
8905,0.893707
8935,0.876395
8965,0.85868
8995,0.842638
9025,0.822791
9055,0.80335
9085,0.785553
9115,0.767621
9145,0.748098
9175,0.73098
9205,0.71074
9235,0.692837
9265,0.675928
9295,0.660067
9325,0.640265
9355,0.622827
9385,0.603637
9415,0.580973
9445,0.558598
9475,0.535324
9505,0.511207
9535,0.485216
9565,0.466016
9595,0.445613
9625,0.42363
9655,0.403512
9685,0.381852
9715,0.361391
9745,0.341943
9775,0.321776
9805,0.304273
9835,0.290871
9865,0.276806
9895,0.263999
9925,0.25014
9955,0.2369
9985,0.224
10015,0.211258
10045,0.201255
10075,0.190867
10105,0.180133
10135,0.170128
10165,0.159039
10195,0.14833
10225,0.14001
10255,0.132143
10285,0.124178
10315,0.116287
10345,0.108372
10375,0.100437
10405,0.0926573
10435,0.0865293
10465,0.0806206
10495,0.0743957
10525,0.0683937
10555,0.0623435
10585,0.0563374
10615,0.0511607
10645,0.046796
10675,0.0424198
10705,0.0380202
10735,0.0336012
10765,0.0292226
10795,0.0245856
10825,0.018926
10855,0
